CEN ATL Miss PAC,,
[co] KS] mT_]_NE] NM] ND] OK] SD] 1 | wy] Ls,,
1999 244,"3,052 0 282 2,503 6,436 12,517 8,925 18,710 0 40,152",
"2000 770 4,621 1,675 958 4,192 20,428 32,644 7,684 22,166 0 62,494",,
"2001 1,273 1,790 1,089 1,386 1,715 20,882 28,135 7,649 12,036 0 47,820",,
"2002 470 3,783 1,653 670 1,039 8,924 16,539 2,080 5,719 0 24,338",,
"2003 ' 1,791 9,024 3,635 1,032 3,500 12,660 31,642 3,186 27,174 0 62,002",,
"2004 ' 695 2,901 2,061 194 173 5,088 11,112 2,331 13,241 0 26,684",,
"2005 ' 1,375 2,200 1,243 148 668 8,025 13,659 2,420 9,260 0 25,339",,
"2006 ' 1,130 4,733 2,030 1,013 3,429 17,443 29,778 4,901 27,585 0 62,264",,
"2007 ' 2,757 4,534 4,809 401 2,514 14,369 29,384 1,344 20,595 0 51,323",,
"2008 ' 1,370 7,200 10,244 146 2,120 7,259 28,339 3,867 11,493 0 43,699",,
"2009 ' 418 2,375 1,890 283 2,055 13,190 20,211 3,174 7,775 0 31,160",,
"2010 ' 90 1,812 2,565 212 965 3,255 8,899 2,257 7,285 0 18,441",,
"20111 852 1,748 1,438 86 523 13,328 17,975 2,530 14,908 0 35,413",,
"20121 1,199 4,298 5,280 384 3,562 23,483 38,206 4,838 34,285 0 77,329",,
"2013 ' 1,312 2,323 1,174 402 1,553 4,598 11,362 1,431 12,728 0 25,521",,
"20141 1,007 2,806 1,946 386 () 2,710 8,855 1,906 9,053 0 19,814",,
"20151 711 3,620 4,296 202 937 3,646 13,412 1,263 7,259 0 21,934",,
"2016 ' 933 3,172 1,508 80 168 4,372 10,233 409 1,216 0 11,858",,
"2017' 1,158 4,821 4,764 117 272 16,681 27,813 777 8,473 0 37,063",,
"2018 ' 467 3,091 1,980 241 () 6,636 12,415 2,522 4,475 0 19,412",,
"20191 0 2,240 2,754 366 () 1,686 7,046 527 4,173 0 11,746",,
"2020 ' 331 5,547 3,631 434 439 10,577 20,960 376 15,140 0 36,477",,
"2021"" 439 9,899 9,043 200 3,736 12,995 36,311 653 39,924 0 76,889",,
"2022 ' 325 2,984 3,673 22 18,867 25,870 2,300 16,147 44,317",,
AVERAGE:,,
"1999-2022 880 3,941 3,099 402 1,568 10,731 20,555 2,890 14,618 0 38,062",,
% CHANGE FROM:,,
Prev. Year -26%,-70% -59%,-89% -100% 45% -29% 252% 60% -42%
Average 63%,-24% 19%,-95% -100% 76% 26% -20% 10% 16%
""" Preliminary FILE: S:\CF_D\projects\Monitoring\harvest datalDATABOOKIHIP\TealharHIP.xls 124/24",,
