CEN ATL Miss PAC,,,,,,
[co Ks NE NM ND OK SX los),,,,,,
"1999 6,919 21,918 2,743 29,776 3,908 19,992 34,252 24,067 193,873 1,567 339,015 232,627 889,529 529,706 1,990,877",,,,,,
"2000 9,450 27,872 1,028 19,973 5,308 23,224 15,885 24,983 187,784 2,437 317,944 183,099 669,335 418,325 1,588,703",,,,,,
"2001 8,062 20,049 1,442 18,669 5,660 13,399 12,863 22,477 195,467 3,374 301,462 141,445 576,040 334,806 1,353,753",,,,,,
"2002 9,207 31,423 2,826 31,496 1,932 33,642 24,941 26,019 121,677 3,136 286,299 156,480 530,750 347,474 1,321,003",,,,,,
"2003' 16,114 24,536 1,106 22,140 4,127 26,116 18,630 24,063 113,248 3,649 253,729 133,969 671,389 368,625 1,427,712",,,,,,
"2004 ' 9,038 29,012 2,021 20,726 2,295 31,389 25,419 17,982 119,565 4,766 262,213 112,638 484,778 487,240 1,346,869",,,,,,
"2005 ' 6,416 13,197 1,654 16,165 5,529 21,594 29,139 14,396 233,501 1,741 343,332 118,252 504,590 508,967 1,475,141",,,,,,
"2006 ' 7,665 11,156 1,748 18,551 11,942 18,199 32,091 19,919 128,015 2,768 252,054 149,711 632,043 562,655 1,596,463",,,,,,
"2007 ' 9,159 22,182 2,328 26,448 5,840 18,077 53,427 14,234 187,990 1,823 341,508 155,693 771,587 631,083 1,899,871",,,,,,
"2008 ' 9,176 22,560 2,157 33,144 3,323 16,938 26,819 12,992 163,616 1,834 292,559 145,041 841,356 674,810 1,953,766",,,,,,
"2009 ' 5,578 23,569 4,225 16,153 1,983 20,623 24,558 12,568 132,120 2,539 243,916 132,460 747,458 539,080 1,662,914",,,,,,
"2010 ' 4,137 15,276 785 13,964 2,156 15,036 28,205 12,277 158,567 2,291 252,694 146,225 1,045,499 549,187 1,993,605",,,,,,
"2011"" 8,029 18,113 959 25,719 1,198 19,453 39,487 17,186 177,800 1,698 309,642 109,572 986,994 507,811 1,914,019",,,,,,
"2012"" 9,789 9,232 2,100 10,283 1,999 36,293 35,947 19,105 247,847 1,749 374,344 119,845 898,176 559,893 1,952,258",,,,,,
"2013"" 9,953 32,861 2,281 26,863 3,212 26,320 32,175 15,928 168,521 2,399 320,513 111,682 835,629 417,964 1,685,788",,,,,,
"2014"" 6,326 22,067 4,028 13,233 3,550 30,929 30,768 16,683 205,602 1,891 335,077 113,397 902,610 380,876 1,731,960",,,,,,
"2015' 12,555 17,193 1,273 20,081 1,700 29,520 24,050 19,470 80,097 1,493 207,432 88,079 522,158 452,018 1,269,687",,,,,,
"2016"" 8,395 16,566 2,083 17,042 1,096 28,194 28,343 15,609 166,310 2,408 286,046 115,525 626,389 539,358 1,567,318",,,,,,
"2017"" 4196 15,126 1,843 15,881 3,986 30,437 33,487 21,990 209,794 4,041 340,781 100,470 709,152 538,791 1,689,194",,,,,,
"2018"" 3,889 18,219 5,621 18,271 2,734 41,835 18,331 16,417 125,381 1,471 252,169 101,270 448,210 546,494 1,348,143",,,,,,
"2019 5,322 15,960 1,357 20,118 4,031 23,350 32,445 13,620 123,504 920 240,627 58,366 431,117 428,247 1,158,357",,,,,,
"2020' 10,261 24,151 4,376 23,260 2,198 38,599 39,775 24,200 177,507 1,518 345,844 101,195 460,399 475,949 1,383,386",,,,,,
"2021 ' 4,714 22,626 2,106 15,260 1,425 47,682 45,486 24,415 122,525 1,450 287,689 107,102 523,403 451,520 1,369,713",,,,,,
"2022 ' 5,038 18,252 1,203 17,578 1,837 44,388 18,360 23,464 192,246 1,613 323,980 121,358 539,272 316,925 1,306,804",,,,,,
AVERAGE:,,,,,,
"1999-2022 7,891 20,547 2,221 20,450 3,457 27,301 29,370 18,919 163,857 2,274 296,286 127,313 676,994 481,992 1,582,804",,,,,,
% CHANGE FROM:,,,,,,
Average -36%,-11%,-46%,-14%,-47% 63%,-37% 24% 17%,-29% 9% 5% -20% -34% 17%
""" Preliminary FILE: S:\CF_D\projects\Monitoring\harvest datalDATABOOKIHIP\TealharHIP.xis 01/24/24",,,,,,
