CEN ATL MISS PAC
Cs
1999 0.47 0.02 0.57 0.69 0.48
2000 0.34 1.77 0.41 0.39 0.44
2001 0.53 1.48 0.72 0.31 0.66
2002 0.32 0.27 0.27 0.42 0.31
2003 ' 0.46 1.14 0.78 0.87 0.66
2004 ' 0.19 1.02 0.22 0.51 0.26
2005 ' 0.45 0.73 0.42 1.39 0.64
2006 ' 0.50 0.54 0.70 0.70 0.60
2007 ' 0.24 0.56 0.34 0.64 0.45
2008 ' 0.56 1.48 0.27 0.18 0.62
2009 ' 0.16 0.26 0.29 0.67 0.35
2010' 0.46 0.45 0.40 0.59 0.48
2011' 0.41 0.77 0.63 0.85 0.67
2012' 0.39 0.42 0.27 0.73 0.45
2013 ' 0.28 0.53 0.85 0.36 0.51
2014' 0.50 1.03 0.43 0.50 0.62
2015 ' 0.29 0.79 0.27 0.78 0.51
2016 ' 0.57 0.55 0.38 0.76 0.58
2017 ' 0.56 1.41 0.77 0.81 0.69
2018 ' 0.08 0.05 0.19 0.39 0.22
2019' 0.36 0.50 0.46 0.87 0.56
2020 ' 0.23 0.55 0.17 0.54 0.35
2021 ' 0.27 0.30 0.55 0.61 0.46
2022 ' 0.62 0.60 1.20 0.71 0.66
