CEN ATL MISS PAC
[co KS NEN ND OK Sx wy] |
"1999 0 139 0 0 0 182 569 158 1,755 0 2,803 8,305 9,272 19,358 39,738"
"2000 70 0 86 129 0 218 110 0 1,833 0 2,446 12,850 19,085 + - 19,384 53,765"
"2001 0 179 0 0 116 138 0 0 1,369 0 1,802 8,505 8,603 15,736 34,646"
"2002 47 210 69 735 0 120 189 411 1,959 0 3,740 17,639 29,228 +~ 19,989 70,596"
"2003"" 0 0 0 110 43 0 103 134 867 0 1,257 17,344 13,032 16,122 47,755"
"2004"" 0 126 0 0 0 350 346 583 2,261 0 3,666 16,837 28,056 22,958 71,517"
"2005"" 0 0 0 113 0 462 134 280 1,529 0 2,518 18,237 24,812 12,447 58,014"
"2006"" 161 169 0 92 0 249 137 0 1,869 0 2,677 10,523 21,454 13,125 47,779"
"2007"" 89 0 0 0 115 0 1,676 126 958 0 2,964 13,154 21,964 32,752 70,834"
"2008"" 0 240 0 0 0 348 106 0 1,962 0 2,656 10,646 24,649 11,514 49,465"
"2009"" 0 183 0 0 0 223 0 0 1,099 0 1,505 12,794 24,567 16,273 55,139"
"2010"" 0 0 98 0 0 108 322 214 930 0 1,672 23,535 =-23,692 20,916 69,815"
"20111 0 0 0 0 0 0 523 0 2,932 0 3,455 6,265 33,680 16,024 59,424"
"20121 0 0 0 0 0 181 0 212 1,415 0 1,808 19,231 40,968 35,894 97,901"
"20131 0 166 0 261 0 115 888 133 1,839 0 3,402 23,227. 49,064 6,533 82,226"
"20141 0 0 0 97 0 0 346 88 3,098 0 3,629 9,700 37,927 10,838 62,094"
"2015' 0 0 0 0 0 323 625 183 2,210 0 3,341 5,202 25,053 6,655 40,251"
"2016 0 0 0 0 0 238 168 79 648 0 1133 10,507 34,574 = 18,648 64,862"
"2017"" 0 95 84 0 0 169 0 127 1,283 0 1,758 18,748 28,929 18,534 67,969"
"2018 0 163 0 90 0 87 353 88 1,572 0 2,353 28,972 35,375 15,801 82,501"
"2019"" 0 0 0 0 0 86 0 170 3,794 0 4,050 14,091 23,101 11,131 52,373"
"2020 ' 83 116 0 0 0 314 220 79 1,923 0 2,734 14,048 += 19,366 14,972 51,119"
"2021 ' 0 177 0 0 0 0 0 0 663 0 840 8,533 11,739 10,147 31,258"
"2022 ' 0 176 0 0 0 252 0 0 2,602 0 3,030 10,025 11,131 4,516 28,701"
AVERAGE:
"1999-2022 19 89 14 68 1 173 284 128 1,765 0 2,552 14,122 24,972 16,261 57,906"
% CHANGE FROM:
Prev. Year 1% 292% 261% 17% 5% -55% -8%
Average -100% 97% 45% 47% 19% -29% -55% -72% -50%
