CEN ATL Miss PAC US. CANADA US. +,,,,
[co KS at NE NM ND OK Sx,,,,
"1999 9,119 12,048 63 25,911 4,842 62,374 5,058 14,746 341,126 0 475,287 54,711 311,621 79,931 921,549 215,266 1,136,815",,,,
"2000 7,750 8,164 191 3,477 5,566 31,457 8,784 2,500 317,262 114 385,265 72,257 167,294 45,289 670,105 245,123 915,228",,,,
"2001 9,768 4,405 106 5,869 17,916 44,021 5,596 18,214 254,414 0 360,309 77,802 245,496 59,405 743,012 262,054 1,005,066",,,,
"2002 10,807 18,222 385 11,678 6,285 20,674 4,251 23,898 171,673 0 267,873 39,295 119,262 62,775 489,205 211,299 700,504",,,,
"2003 ' 16,786 19,263 453 5,513 3,465 24,912 2,109 28,523 145,491 325 246,840 36,105 204,194 59,511 546,650 268,814 815,464",,,,
"2004 ' 9,320 16,481 113 964 3,305 17,860 3,696 29,785 134,031 0 215,555, 31,548 172,983 51,680 471,766 197,371 669,137",,,,
"2005 ' 5,998 3,689 54 4,359 2,723 20,076 9,546 21,440 228,651 0 296,536 36,102 223,669 71,805 628,112 187,008 815,120",,,,
"2006 ' 13,429 12,848 0 1,269 2,977 32,173 10,664 25,780 119,360 0 218,500 33,338 150,402 78,107 480,346 266,543 746,889",,,,
"2007 ' 11,528 10,943 83 999 2,333 28,648 6,138 10,581 125,725 43 197,021 52,242 149,638 96,521 495,422 187,212 682,634",,,,
"2008 ' 4,991 12,540 0 1,438 371 32,845 3,382 26,561 122,276 0 204,404 58,922 158,345 102,887 524,558 327,142 851,700",,,,
"2009 ' 3,406 4,267 494 5,174 734 33,168 2,297 18,341 53,804 66 121,751 29,571 67,575 ~-6 3,568 282,465 179,335 461,800",,,,
"2010 ' 2,428 4,459 0 0 497 36,101 8,336 18,612 106,839 90 177,362 18,293 87,542 81,909 365,106 197,346 562,452",,,,
"20111 8,845 19,876 0 7,362 1,809 31,233 3,291 12,517 116,090 331 201,354 37,592 127,394 80,030 446,370 253,699 700,069",,,,
"2012' 1,568 13,016 0 1,051 1,841 33,885 4,206 35,530 85,492 330 176,919 41,251 68,611 86,287 373,068 210,411 583,479",,,,
"2013 ' 4,662 16,281 111 3,538 0 29,487 6,168 15,292 66,234 0 141,773 8922 70,568 64,387 285,650 259,874 693,218",,,,
"2014 '* 917 32,409 0 700 5,386 17,398 9,072 12,734 185,873 0 264,489 21,737 103,296 95,149 484,671 316,751 801,422",,,,
"2015 ""8 1,188 21,928 302 1,290 888 31,432 1,002 7,710 50,712 0 116,452 20,983 72,799 79,447 289,681 165,506 455,187",,,,
"2016 ** 15,021 14,222 258 12,338 365 49,172 2,387 14,074 117,278 62 225,177 25,560 134,971 88,492 474,200 149,397 623,597",,,,
"2017 ""8 22,787 14,255 141 3,415 43 40,092 590 35,707 157,976 218 275,224 16,865 159,491 144,365 595,945 193,518 789,463",,,,
"2018 * 2,144 12,864 437 214 464 26,350 2,800 9,652 44,561 0 99,486 6965 58,154 112,522 277,127 126,814 403,941",,,,
"2019 ' 2,537 15,582 220 1,002 120 31,492 5,407 18,230 77,624 443 152,657 17,091 58,963 110,342 339,053 173,787 512,840",,,,
"2020 ** 4,341 19,570 208 = 1,203 421 31,288 3,591 37,678 88,518 62 186,880 12,368 77,201 175,378 451,827 76,204 528,031",,,,
"2021 ""8 3,022 21,969 0 6,886 201 58,107 5,633 16,414 47,154 139 159,526 8,617 101,898 155,943 425,983 144,757 570,740",,,,
"2022 ' 3,427 7,963 810 1,756 353 28,620 5,648 4,468 27,917 456 81,421 9,675 39,554 146,278 276,928 133,887 410,815",,,,
AVERAGE:,,,,
Prev. Year 13% 64% 74% 76% = -51% 0% -73%,-41% 228% 49% 12% 61% 6% -35% 8% -28%,,,
Average 53% 43% 339% 61%,-87%,-138% 13%,-77%,-79% 309% 63% -70% -70% 60% 41% -35% -40%
""" Preliminary",,,,
