CEN ATL MISS PAC,,,,,,,
[cost NEN DOK Sy] ls,,,,,,,
"1999 7,081 27,189 1,663 16,045 2,535 106,500 62,244 41,960 290,029 1,306 556,552 62,212 1,069,106 133,826 1,821,696",,,,,,,
"2000 8,540 29,363 2,570 23,452 7,003 94,423 44,235 24,162 373,472 2,193 609,413 67,496 1,267,013 132,510 2,076,432",,,,,,,
"2001 8,062 19,154 1,682 13,535 6,584 82,880 25,834 29,023 302,957 2,073 491,784 33,785 845,701 122,398 ~- 1,493,668",,,,,,,
"2002 5,121 36,572 2,137 21,212 4,732 98,282 40,718 36,700 163,686 2,482 411,642 39,803. 661,701 118,960 1,232,106",,,,,,,
"2003 ' 10,360 41,063 1,860 20,928 7,480 96,155 40,657 37,432 163,195 3,600 422,730 38,479 851,315 154,056 - 1,466,580",,,,,,,
"2004 ' 8,574 41,374 1,786 12,848 4,364 125,440 69,687 35,867 178,924 4,194 483,058 24,269 + 654,488 +=. 202,161 1,363,976",,,,,,,
"2005 ' 10,388 21,629 1,198 9,495 5,157 95,382 57,475 28,511 269,041 1,686 499,962 34,337 635,321 194,332 1,363,952",,,,,,,
"2006 ' 9,602 30,594 1,582 12,459 3,892 63,324 68,983 34,033 236,409 2,498 463,376 33,252 803,393 244,379 1,544,400",,,,,,,
"2007 ' 7,914 27,687 2,069 10,820 2,978 57,159 87,577 25,697 169,311 2,614 393,826 38,950 842,192 199,854 1,474,822",,,,,,,
"2008 ' 10,409 34,080 2,451 14,915 3,177 46,058 54,380 24,876 147,137 1,941 339,424 36,313 906,308 += 182,226 = 1,464,271",,,,,,,
"2009 ' 9,482 27,589 3,466 13,059 4,626 93,530 68,047 31,363 207,963 2,091 461,216 33,448 = 713,277 193,833 1,401,774",,,,,,,
"2010' 4,137 30,940 1,766 9,262 3,782 55,061 56,302 21,671 182,980 1,735 367,636 53,420 1,098,694 215,534 1,735,284",,,,,,,
"2011"" 4,136 29,553 4,384 16,134 3,768 65,673 71,914 20,910 337,206 2,305 555,983 68,561 1,473,197 213,633 2,311,374",,,,,,,
"2012"" 7,192 32,473 1,960 8893 1,307 60,668 84,037 29,082 310,375 972 536,959 49,318 1,240,234 194,222 2,020,733",,,,,,,
"2013"" 14,874 34,188 3,721 15,257 4,176 65,052 96,304 19,511 199,328 3,137 455,548 79,891 1,009,467 129,649 1,674,555",,,,,,,
"2014"" 6,183 13,648 2,739 5,254 2,547 85,704 61,881 15,535 227,865 679 422,035 90,036 947,364 123,360 1,582,795",,,,,,,
"2015"" 9,713 31,068 1,273 8,699 850 70,999 47,943 20,293 137,215 912 328,965 58,906 559,520 155,898 + - 1,103,289",,,,,,,
"2016"" 8,395 13,981 1,282 8446 1,069 70,781 39,748 9,539 195,296 1,042 349,579 92,160 662,282 149,415 1,253,436",,,,,,,
"2017"" 12,443 19,380 1,676 14,425 3,283 58,766 39,612 19,639 160,607 3,973 333,804 64,618 + 623,532 198,234 1,220,188",,,,,,,
"2018"" 5,912 14,722 4,283 5,850 3,457 75,234 42,655 24,185 147,034 2,207 325,539 62,214 421,296 += 138,329 947,378",,,,,,,
"2019 10,407 17,826 4,072 7,803 3,985 70,395 54,908 22,303 144,861 2,666 339,226 42,126 537,060 129,688","1,048,100",,,,,,
"2020 ' 11,171 30,623 6,896 12,660 3,909 76,674 94,930 32,843 236,739 3,246 509,692 42,779 549,477 148,556 ~ 1,250,504",,,,,,,
"2021 ' 5,482 20,151 2,607 9,382 846 42,436 59,110 25,077 87,783 785 253,659 46,539 414,525 = 112,832 827,555",,,,,,,
"2022 ' 2,925 11,232 1,503 6,646 870 59,016 23,057 17,366 177,609 1,897 302,122 43,354 = 371,974 90,308 807,757",,,,,,,
AVERAGE:,,,,,,,
"1999-2022 8,271 26,503 2,526 12,395 3,599 75,650 58,010 26,149 210,293 2,176 425,572 51,511 798,268 += 161,591 1,436,943",,,,,,,
% CHANGE FROM:,,,,,,,
Average 65% 58%,-41%,-46%,-76%,-22% 60%,-34%,-16%,-13% -29% -16% -53% -44% -44%
"""Preliminary FILE: S:\CF_D\projects\DATABOOK\MONITORING\HARVEST DATA\HIPIDABHARVHIP.XLS 01/24/24",,,,,,,
