CEN ATL MISS PAC,,
[co]_KS]_wT_]_NE [NM] ND] OK] SD] 1] wy] [FLyway] Fyway | FLyway | rryway | [US],,
"1999 4,559 6,936 1,663 14,039 1,091 23,808 682 22,167 30,816 1,480 107,241 57,089 298,936 58,968 522,234",,
"2000 6,580 2,385 1,371 8,247 3,612 23,006 1,545 13,254 64,952 1,300 126,252 56,819 279,651 38,436 501,158",,
"2001 2,758 1,074 1,281 11,668 1,155 33,981 429 24,577 46,556 241 123,720 52,762 362,642 42,831 581,955",,
"2002 4,275 3,468 827 11,937 788 42,413 473 21,226 45,928 2,221 133,556 48,212 326,812 45,703 554,283",,
"2003 ' 3,837 4,258 704 7,380 473 37,097 206 16,844 37,634 1,036 109,469 34,952 303,138 57,426 504,985",,
"2004 * 7,532 6,812 658 4,606 33 25,205 518 14,289 71,231 1,716 132,600 66,356 259,179 71,981 530,116",,
"2005 * 5,499 1,588 1,255 14,243 445 34,758 1,470 14,770 44,712 816 119,556 61,790 213,807 76,592 471,745",,
"2006 ' 5,971 1,183 1,582 9,045 906 18,199 275 11,838 50,459 1,080 100,538 52,745 248,663 72,118 474,064",,
"2007 * 8,803 1,296 1,466 13,785 687 26,097 1,047 9,951 53,643 1,337 118,112 67,670 322,800 58,092 566,674",,
"2008 * 4,383 3,840 588 9,039 255 12,414 3,604 12,992 44,534 1,258 92,907 67,139 322,787 52,664 535,497",,
"2009 ' 1,255 3,654 433 4,983 118 21,404 757 17,323 78,700 697 129,324 97,070 487,937 46,568 760,899",,
"2010 ' 3,418 3,366 883 10,259 142 25,205 107 14,839 47,664 1,735 107,618 92,345 341,939 58,794 600,696",,
"2011"" 3,649 4,131 2,055 10,862 556 53,846 1,569 28,501 39,719 1,031 145,919 92,915 326,528 52,675 618,037",,
"2012"" 3,696 1,910 3,220 1,390 77 30,695 324 14,010 41,874 0 97,196 83,497 377,421 40,628 598,742",,
"2013 ' 7,327 20,414 4,682 23,734 723 58,271 666 25,219 81,617 1,845 224,498 55,295 534,839 43,178 857,810",,
"2014"" 1,726 11,225 1,934 9,438 540 36,831 1,383 19,242 79,181 1,600 163,100 42,811 326,915 32,366 565,192",,
"2015"" 1,422 11,312 796 13,746 41 70,676 937 27,514 38,336 580 165,360 55,610 273,156 28,507 522,633",,
"2016 ** 1,400 4,699 1,923 2,866 107 38,067 1,174 17,422 67,851 1,150 136,659 45,676 202,419 44,032 428,786",,
"2017"" 1,447 3,025 922 4,235 352 39,711 136 8,644 64,799 1,438 124,709 56,210 295,936 58,753 535,608",,
"2018 * 5,913 4,636 3,346 9,090 724 37,051 0 8827 118,570 1,900 190,057 52,126 233,988 50,532 526,703",,
"2019"" 2,129 1,774 2,262 9,868 642 45,925 0 20,771 49,317 1,269 133,957 57,136 227,921 39,270 458,384",,
"2020 '* 2,069 9,014 1,591 4,711 536 45,921 1,319 22,865 52,310 1,047 141,381 37,522 239,133 43,581 461,617",,
"2021"" 4,824 707 802 4,748 312 32,760 0 16,883 55,163 1,027 117,225 50,569 175,472 22,987 366,253",,
"2022 ""8 2,681 1,579 1,102 9,270 217 61,286 0 17,631 51,396 1,802 146,967 46,945 222,545 25,445 441,901",,
AVERAGE:,,
"1999-2022 4,048 4,762 1,556 9,300 606 36,443 776 17,567 56,540 1,234 132,830 59,636 300,190 48,422 541,082",,
% CHANGE FROM:,,
Prev. Year -44% 123% 37% 95%,-30% 87% 4% Th 75% 25% 1% 27% 11% 21%,
Average --34% = 67% ~ -29% 0%,-64% 68%,-100% 0% 9% 46% 11% -21% -26% -47% 18%
""" Preliminary FILE: S:\CF_D\projects\Monitoring\harvest datalDATABOOKIHIP\TealharHIP.xls 01/24/24",,
