CEN ATL Miss PAC,,,,,,,,
[co KS NEN ND OK SX wy Ts],,,,,,,,
"1999 895 5,410 998 5,245 1,091 26,716 6,259 12,984 69,435 871 129,904 25,101 153,304 230,405 538,714",,,,,,,,
"2000 2,310 7,453 857 7,474 3,022 18,645 5,626 8,211 81,975 325 135,898 20,050 153,036 203,033 512,017",,,,,,,,
"2001 1,839 7,339 641 6845 2,426 21,272 3,752 12,474 79,077 386 136,051 20,619 125,148 159,798 441,616",,,,,,,,
"2002 1,738 4,624 758 4,224 631 17,181 2,078 9,312 19,590 566 60,702 17,220 99,759 130,183 307,864",,,,,,,,
"2003"" 2174 4,157 653 2,974 2,063 17,806 1,132 6,149 18,383 148 55,639 18,134 119,005 144,020 336,798",,,,,,,,
"2004"" 1,275 3,280 705 3,030 711 21,004 5,706 4,763 = 22,330 477 63,281 10,254 90,542 147,040 311,117",,,,,,,,
"2005"" 764 3,666 685 3,052 1,113 20,670 5614 5,141 37,834 381 78,920 17,339 107,276 208,495 412,030",,,,,,,,
"2006 ' 726 2,704 333. 1,477 1,706 10,596 2,331 4,781 41,426 270 66,350 20,282 104,286 239,423 430,341",,,,,,,,
"2007"" 1,778 2,591 345 4,328 973 11,585 5,447 5,794 54,840 547 88,228 19,076 162,416 259,447 529,167",,,,,,,,
"2008"" 1,781 6,872 588 4,218 876 7,657 4,982 3,626 41,198 431 72,229 21,298 += 158,218 + 284,676 536,421",,,,,,,,
"2009"" 2,649 5664 1,083 3,093 968 18,840 6,599 8492 42,868 747 91,003 15,056 106,727 285,976 498,762",,,,,,,,
"2010' 630 5,437 883 2,992 2,509 11,250 11,153 12,917 68,821 417 117,009 23,522 196,185 + 367,952 704,668",,,,,,,,
"2011! 2,311 5,243 959 9,585 1,927 28,635 16,736 14,752 106,893 546 187,587 17,831 212,499 391,533 809,450",,,,,,,,
"2012' 1,299 6,367 2,380 1,806 2,076 21,126 7,448 11,463 101,855 583 156,403 12,609 156,593 357,842 683,447",,,,,,,,
"2013! 3,281 12,115 1,200 3,652 2,248 24,136 9,320 10,087 64,374 277 130,690 21,367 155,104 231,175 538,336",,,,,,,,
"2014! 1,294 4,847 1,772 2,530 2,161 25,263 7,433 7,326 54,595 388 107,609 17,685 115,368 230,528 471,190",,,,,,,,
"2015"" 2,132 6,033 318 2,148 2,225 23,918 6,403 5,210 36,016 166 84,569 17,501 95,746 249,372 447,188",,,,,,,,
"2016"" 777 ~-,169 321. 2,111 1,176 20,461 11,740 2,601 64,127 288 108,771 25,407 101,514 231,775 467,467",,,,,,,,
"2017"" 723 4,160 168 3,970 3,048 16,525 8440 4,068 60,949 41 102,462 16,280 134,643 203,492 456,877",,,,,,,,
"2018 ' 467 3,335 937 2,970 402 19,656 3,701 3,972 27,765 184 63,389 17,539 68,949 270,082 419,959",,,,,,,,
2019 828,"3,453 181 2,907 1,511 14,561 5952 8513 34,424 127 72,457 8,963 74,589 161,711 317,720",,,,,,,
"2020 ' 1,738 8,667 1,061 3,435 818 21,234 15,382 6,522 44,809 262 103,927 18,986 100,111 185,109 408,134",,,,,,,,
"20211 1,535 7,954 602 2,261 401 16,438 8570 5,711 33,283 362 77,117 17,300 132,767 158,036 385,219",,,,,,,,
"2022' 1,056 1,580 501 1,137 381 16,141 2,562 5,568 41,637 285 70,847 9,564 75,268 121,147 276,826",,,,,,,,
AVERAGE:,,,,,,,,
"1999-2022 1,500 5,338 789 3,644 1,519 18,805 6,849 7,518 52,021 394 98,377 17,874 124,961 227,177 468,389",,,,,,,,
% CHANGE FROM:,,,,,,,,
Prev. Year -31%,-80% += -17% += -50% 5% -2% -70% 3% 25%,-21% 8% 45% 43% -23% -28%,,,,,,
Average -30%,-70%,-36%,-69%,-75%,-14%,-638%,-26% -20%,-28% -28% ~46% -40% AT% 41%
""" Preliminary FILE: S:\CF_D\projects\DATABOOKIMONITORING\HARVEST DATA\HIP\IDABHARVHIP.XLS 01/28/24",,,,,,,,
