CEN ATL Miss PAC US. CANADA US. +,,,,
[co [ks [MT TNE T NM] ND TT oK Tsp [ 1x] Ww,,,,
"1999 1,499 1,643 0 3,797 1,761 360 361 787 47,491 0 57,699 0 9,343 28,318 95,360 22,749 118,109",,,,
"2000 760 0 191 732 1,755 338 941 0 31,269 0 35,986 0 6,542 6,850 49,378 17,895 67,273",,,,
"2001 1,817 314 0 629 10,451 2,896 1,162 1,725 40,729 0 59,723 0 18,780 14,834 93,337 20,985 114,322",,,,
"2002 1,029 3,471 94 331 1,908 528 1,417 664 27,617 0 37,059 0 8496 16,248 61,803 33,956 95,759",,,,
"2003 ' 2122 2,693 0 735 1,138 109 703 603 22,244 0 30,347 0 17,332 16,904 64,583 30,269 94,852",,,,
"2004 ' 1,332 2,042 0 193 2,288 213 1,167 983 23,527 0 31,745 0 4,625 11,070 47,440 22,092 69,532",,,,
"2005 ' 444 194 0 544 1,000 913 2,273 315 37,416 0 43,099 0 3,970 8,026 55,095 14,749 69,844",,,,
"2006 ' 4,687 1,402 0 381 910 912 3,110 463 12,070 0 23,935 82 10,102 6,627 40,746 26,712 67,458",,,,
"2007 ' 1,566 1,313 0 143 724 528 1,637 0 12,895 43 18,849 1,500 8,836 8,782 37,967 18,037 56,004",,,,
"2008 ' 1,953 3,549 0 239 247 = 1,524 966 1,141 22,192 0 31,811 170 12,383 15,613 59,977 48,165 108,142",,,,
"2009 ' 310 266 0 2,134 113 2,093 530 824 3,899 0 10,169 145 1,950 9,928 22,192 24,036 46,228",,,,
"2010 ' 347 1,163 0 0 221 1,547 794 1,077 18,363 90 23,602 0 4608 16,875 45,085 34,798 79,883",,,,
"20111 819 1,932 0 398 258 2,785 1,410 671 23,854 83 32,210 0 4,821 15,915 52,946 39,952 92,898",,,,
"20121 0 3,409 0 263 1,052 6,024 742 2,182 14,503 0 28,175 0 7,163 16,073 51,411 24,722 76,133",,,,
"2013 ' 1,492 6,017 111 2,875 0 951 3,486 356 15,201 0 30,489 0 6,258 16,022 52,769 34,955 87,724",,,,
"20141 0 5,719 0 350 1,747 1,663 2,452 653 42,549 0 55,133 53 16,694 = 19,576 91,456 41,285 132,741",,,,
"2015 ' 0 3,595 151 0 0 3,016 501 701","4,923 0 12,887 0 3,142 14,331 30,360 21,361 51,721",,,
"2016 ' 2,539 1,538 0 1,204 137 3,498 895 853 19,663 0 30,327 0 14,531 8,625 53,483 23,712 77,195",,,,
"2017' 3,607 1,501 0 455 0 3,481 0 3,480 34,317 0 46,841 254 = 25,147 28,263 100,505 41,498 142,003",,,,
"2018 ' 390 1,316 0 0 464 1,478 509 186 10,893 0 15,236 0 3,812 12,952 32,000 11,930 43,930",,,,
"2019' 149 2,943 0 0 0 4,887 1,966 2,853 12,004 148 24,950 0 9,783 16,222 50,955 36,165 87,120",,,,
"2020 ' 620 3,763 104 0 105 2,968 1,026 2,724 18,244 62 29,617 403 5,477 25,998 61,496 8,083 69,579",,,,
"2021 ' 533 5,731 0 287 134 7,852 2,629 1,824 = 12,063 0 31,053 86 = 12,376 += 32,250 75,764 17,521 93,285",,,,
"2022 ' 571 2,342 405 439 132 5,366 2,824 186 8,530 1 20,888 181 7,670 38,344 67,084 24,579 91,663",,,,
AVERAGE:,,,,
Prev. Year T%,-59% 53% 1%,-32% T% 20% -29% -33% 110% -38% 19% 11% 40% -2%,,
Average 52% 3% 820%,-35%,-88% 130% 102%,-82%,-60% 322% -34% 51% 18% 127% 16% 8% 8%
""" Preliminary",,,,
