CEN ATL Miss PAC Us. CANADA US. +,,,
[co KS NE ORS] | vway | eevway | ecyway | rcyway] | torat | | rota | | canapa,,,
"1999 0 5,476 316 223 0 899 2,168 983 103,670 0 113,735 0 108,649 32,123 254,507 62,349 316,856",,,
"2000 0 11,303 573 549 60 2,481 3,451 2,166 163,970 0 184,553 0 103,913 26,658 315,124 106,738 421,862",,,
"2001 227 4,721 212 629 0 1,854 422 1,150 82,015 0 91,230 0 110,802 29,348 231,380 93,194 324,574",,,
"2002 86 8,966 187 663 112 264 1,090 830 73,147 0 85,345 0 107,151 28,003 220,499 51,615 272,114",,,
"2003 ' 1,158 9,735 0 2,205 0 435 2,953 1,607 61,924 0 80,017 0 110,611 26,153 216,781 65,268 282,049",,,
"2004 ' 121 5,688 0 1,543 0 1,914 4,280 1,545 37,072 0 52,163 0 86,266 44,078 182,507 64,613 247,120",,,
"2005 ' 0 970 269 1,998 0 183 1,477 946 108,089 0 113,932 87 92,956 45,451 252,426 75,564 327,990",,,
"2006 ' 127 2,336 84 888 25 1,172 2,000 309 76,444 0 83,385 0 142,493 56,610 282,488 55,183 337,671",,,
"2007 ' 142 13,788 249 1,142 0 528 7,366 1,076","87,040 0 111,331 0 176,444 64,586 352,361 69,958 422,319",,
"2008 ' 868 16,325 0 479 0 1,524 1,691 326 40,033 0 61,246 0 138,097 119,988 319,331 93,862 413,193",,,
"2009 ' 0 12,267 247 434 56 1,932 2,120 1,237 2,244 0 70,537 2,510 71,451 60,746 205,244 54,213 259,457",,,
"2010' 173 4,847 99 0 0 5,157 1,588 615 75,121 0 87,600 0 105,249 75,909 268,758 56,199 324,957",,,
"20111 164 19,877 0 1,791 0 2,188 1,567 671 74,744 0 101,002 788 70,836 62,183 234,809 81,042 315,851",,,
"20121 448 7,127 0 526 0 3,765 2,474 4,363 63,356 0 82,059 0 83,245 45,196 210,500 59,470 269,970",,,
"2013 ' 559 15,927 222 664 0 1,585 3,218 1,422 34,745 0 58,342 124 122,469 75,432 256,367 75,113 331,480",,,
"2014 ' 0 19,064 166 0 0 1,407 2,452 653 120,930 0 144,672 94 110,410 84,075 339,251 87,594 426,845",,,
"2015 ' 0 15,817 1,057 322 0 3,248 1,504 701 28,064 0 50,713 0 108,720 68,220 227,653 71,457 299,110",,,
"2016 ' 635 16,913 0 903 0 1,440 1,790 2,772 50,563 62 75,078 0 196,416 42,795 314,289 66,525 380,814",,,
"2017 ' 492 4,752 141 911 0 2920 3,541 4,085 43,192 0 60,034 726 181,084 70,372 312,216 76,884 389,100",,,
"2018 | 0 2,339 0 855 0 3,078 509 3,341 33,668 0 43,790 37 110,739 67,435 222,001 79,364 301,365",,,
"2019 ' 0 5,194 110 668 0 4,344 983 2,378 38,412 0 52,089 152 153,583 54,931 260,755 56,228 316,983",,,
"2020 ' 124 8,781 0 962 0 3957 4617 2,951 21,623 0 43,015 485 119,507 108,732 271,740 30,359 302,099",,,
"2021 ' 178 6,050 3,226 287 0 5,104 2,629 4,863 10,966 0 33,303 0 133,643 67,709 234,655 48,415 283,070",,,
"2022 ' 0 937 405 659 0 4,174 2,824 1,303 5,428 0 15,730 17 86,663","47,090 149,500 67,215 216,715",,
AVERAGE:,,,
"1999-2022 229 9,133 315 804 11 2,315 2,446 1,762 61,936 3 78,954 209 117,975 58,493 255,631 68,684 324,315",,,
% CHANGE FROM:,,,
Prev. Year -100%,-85%,-87% 130% -18% T%,-73% 51% -53% -35% -30% -36% 39% -23%
Average,-100% + -90% = 29% += -18% + -100% 80% 15%,-26% -91% -100% -80% -92% -27% 19% 42% -2% -33%,
""" Preliminary File S-\CF_D\projects\Monitoring\harvest datalDATABOOK\HIP\gooseharvhip.x!s 01/25/24",,,
