CEN ATL MISS PAC,,,,,,
[co KS NEN ND OK Sx wy] |,,,,,,
"1999 163 416 582 1,389 0 18,356 1,024 3,641 14,628 348 40,547 72,568 + = 90,080 48,619 251,814",,,,,,
"2000 840 149 857 902 295 23,224 992 4,223 54,213 81 85,776 45,181 203,093 50,737 384,787",,,,,,
"2001 424 1,074 80 933 347 23,621 429 3,582 43,133 96 73,719 119,742 179,427 45,957 418,845",,,,,,
"2002 1,597 2,207 827 4,224 315 25,592 4,251 4,930 46,799 436 91,178 103,096 211,360 52,855 458,489",,,,,,
"2003"" 895 913 201 2,754 172 17,065 1,750 3,342 18,730 444 46,266 78,283 158,639 55,154 338,342",,,,,,
"2004"" 811 1,892 188 848 0 20,537 1,729 8,651 35,332 477 70,465 71,728 += 136,407 75,305 353,905",,,,,,
"2005"" 382 244 114 452 37 22,171 2,540 4,487 26,369 163 56,959 81,935 136,169 41,918 316,981",,,,,,
"2006"" 645 1,014 83 923 267 20,817 2,194 7,057 20,557 68 53,625 57,142 122,673 47,848 281,288",,,,,,
"2007"" 267 648 345 561 401 16,168 4,190 4,283 16,764 0 43,627 59,748 += '106,755 84,758 294,888",,,,,,
"2008"" 0 1,440 294 301 110 10,557 954 4,834 13,144 36 31,670 36,437 121,989 38,928 229,024",,,,,,
"2009"" 279 914 325 344 71 26,420 433 4,189 12,311 249 45,535 48,702 136,089 46,881 277,207",,,,,,
"2010"" 720 1,424 392 142 35 18,498 1,180 4,484 14,648 0 41,523 90,540 180,967 44,692 357,722",,,,,,
"2011"" 122 1,271 822 639 0 12,294 2,223 3,437 26,123 61 46,992 52,460 148,583 38,815 286,850",,,,,,
"2012"" 300 1,751 1,680 1,112 77 28,168 4,210 4,245 71,016 97 112,656 172,288 348,547 98,691 732,182",,,,,,
"2013"" 437 1,162 2,281 1,435 0 13,792 4,882 1,858 23,910 277 50,034 83,643 146,937 47,896 328,510",,,,,,
"2014"" 431 1,148 645 97 772 21,367 3,630 1,853 46,077 339 76,359 64,776 194,010 48,874 384,019",,,,,,
"2015 ' 1,421 151 0 215 0 19,824 1,406 4,845 17,125 41 45,028 42,640 143,472 35,208 266,348",,,,,,
"2016 ' 311 587 321 302 80 19,747 1,174 4,415 13,927 0 40,864 34,439 101,797 51,506 228,606",,,,,,
"2017 ' 723 1,324 252 132 234 21,584 1,089 2,796 46,193 137 74,464 69,172 214,432 40,760 398,828",,,,,,
"2018 ' 467 895 669 360 80 25,223 1,234 3,972 13,970 61 46,931 74,056 121,943 43,377 286,307",,,,,,
"2019 ' 355 933 181 382 229 29,295 1,536 5,703 30,771 95 69,480 29,738 += 98,102 35,526 232,846",,,,,,
"2020 ' 331 1,503 265 1,276 128 10,461 1,538 3,536 27,309 157 46,503 45,165 121,513 45,064 258,244",,,,,,
"2021 ' 219 1,768 0 113 22 4,080 1,978 1,986 15,382 60 25,609 29,780 66,518 += 41,675 163,580",,,,,,
"2022 ' 975 1,054 100 437 54 5,801 0 1,193 19,517 95 29,226 40,438 = 60,661 22,289 152,614",,,,,,
AVERAGE:,,,,,,
"1999-2022 546 1,078 479 845 155 18,944 1,940 4,064 27,831 159 56,043 66,821 147,923 49,306 320,093",,,,,,
% CHANGE FROM:,,,,,,
Average 78% -2%,-79%,-48%,-65%,-69% -100%,-71%,-30% -40% -48% -39% -59% -55% -52%
